CountryName,CapitalName,CapitalLatitude,CapitalLongitude,Status
Spain,Madrid,40.4,-3.683333,EQ
Venezuela,Caracas,10.483333333333333,-66.866667,EQ
United States,Washington,38.883333,-77.000000,Nuclear
China,Beijing,39.916666666666664,116.383333,Nuclear
Cuba,Havana,23.116666666666667,-82.350000,EQ
Italy,Rome,41.9,12.483333,EQ
Syria,Damascus,33.5,36.300000,Nuclear
United Kingdom,London,51.5,-0.083333,Nuclear
Ireland,Dublin,53.31666666666667,-6.233333,Nuclear
India,New Delhi,28.6,77.200000,EQ
Thailand,Bangkok,13.75,100.516667,EQ
Japan,Tokyo,35.68333333333333,139.750000,Nuclear
Morocco,Rabat,34.016666666666666,-6.816667,EQ
Madagascar,Antananarivo,-18.916666666666668,47.516667,null
Chile,Santiago,-33.45,-70.666667,EQ
Brazil,Brasilia,-15.783333333333333,-47.916667,EQ
Equatorial Guinea,Malabo,3.75,8.783333,Nuclear
North Korea,Pyongyang,39.016666666666666,125.750000,Nuclear
Russia,Moscow,55.75,37.600000,EQ